--- Unified Training v2 ---
Rank: 0 / 1
Labels: 116
Train: 659 | Val: 165
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat47 | Loss = 12.1883
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat93 | Loss = 37.9012
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat16 | Loss = 5.0912
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat96 | Loss = 4.8540
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_9__Pat25 | Loss = 6.9350
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat112 | Loss = 34.5888
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat28 | Loss = 4.5041
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat3 | Loss = 8.2381
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat124 | Loss = 35.9925
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_3__Pat16 | Loss = 14.8930
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat32 | Loss = 12.0926
Epoch 1 | PET_sub-010 | Loss = 110.9213
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat35 | Loss = 10.3601
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat2 | Loss = 11.3542
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat4 | Loss = 5.8748
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat10 | Loss = 4.9266
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat112 | Loss = 37.3655
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat128 | Loss = 3.9645
