--- Unified Training v2 (Enhanced) ---
Rank: 0 / 1
Labels: 116
Train: 659 | Val: 165
Epoch 2 | 500/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat119 | Loss = 6.7870
Epoch 2 | 510/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat35 | Loss = 5.7396
Epoch 2 | 520/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat120 | Loss = 42.1932
Epoch 2 | 530/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_7__Pat108 | Loss = 34.9853
Epoch 2 | 540/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat49 | Loss = 5.7511
Epoch 2 | 550/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat84 | Loss = 5.8725
Epoch 2 | 560/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat110 | Loss = 5.6382
Epoch 2 | 570/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat90 | Loss = 3.6571
Epoch 2 | 580/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_9__Pat25 | Loss = 5.8951
Epoch 2 | 590/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat22 | Loss = 2.3622
Epoch 2 | 600/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat94 | Loss = 2.1544
Epoch 2 | 610/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat11 | Loss = 25.7128
Epoch 2 | 620/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat28 | Loss = 2.2143
Epoch 2 | 650/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat95 | Loss = 6.3749
Epoch 2 | 659/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat31 | Loss = 30.7934
Epoch 2 COMPLETE | Avg Train Loss = 10.0506 | Val Loss = 10.0613
Saved best checkpoint to checkpoint_best.jld
Epoch 3 | 10/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat25 | Loss = 2.1668
Epoch 3 | 20/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat65 | Loss = 5.2062
Epoch 3 | 30/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat128 | Loss = 3.2802
